,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
0,2017-01-01,27858.9,27477.3,27858872.08289,27591730.12689,267141.956,27858872.08289,10230100.130314,6864575.384024798,9047205.493406398,1716991.0731449006,27858872.08289,18043789.15975,3514467.39793,6705475.31777,945906.3067999998,2880656.16907,2606192.941830001,1050313.6381999997,340777.38815,4397543.670589998,772371.8476499998,1838507.09553,2806660.309370001
1,2017-02-01,25994.2,25223.4,25994200.16707,25749179.39807,245020.769,25994200.16707,9719067.340596003,6438494.010723001,8309150.301222395,1527488.5175299996,25994200.16707,17656879.0774891,3344456.930740001,6576624.802559999,925618.61472,2855639.899579999,2600083.5910391,1026166.54377,328288.69508000003,4053283.7708199993,672290.5165300001,1257661.9026,2354084.90063
2,2017-03-01,27780.0,26334.3,27780006.52225002,27472228.718250018,307777.804,27780006.52225002,10244442.508284995,6908522.962076997,8845010.493617997,1782030.55727,27780006.52225002,19186248.0527303,3290739.32368,7437264.1736,1016147.6642400002,3188259.1690900004,2824976.7257703007,1075525.84159,353335.15476000006,4354197.61058,667696.66531,1305674.91677,2266189.276857
3,2017-04-01,29134.3,27045.9,29134272.21961001,28827479.48661001,306792.733,29134272.21961001,10312632.366428996,7454251.799721999,9458166.681812003,1909221.3736467,29134272.21961001,20257135.09719,3253288.2368399994,8211244.092969999,1132396.2324399997,3257140.159269999,3006158.7602200005,1037213.1617099998,359694.45374,4355706.645570001,838948.24575,1535726.3448300003,2146755.88727
4,2017-05-01,27969.0,25631.9,27969004.676939998,27569311.41494,399693.262,27969004.676939998,10147613.34208,6735747.319130901,9220929.862112992,1864714.156617,27969004.676939998,18904574.403351597,2869437.4106681994,7651058.083627701,1033081.8497094004,3232635.767159099,2799142.1231426005,982651.16055459,336568.00849000004,4206101.605108699,915895.14981,1824462.036,2117971.4826696
5,2017-06-01,29132.7,26365.4,29132712.7446,28763865.4186,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007,2033652.1887504,29132712.7446,19601615.797832,3103589.5987800006,7911936.244780002,1083494.19323,3322049.563759999,2883228.762352,952203.315,345114.1199299999,4277889.538619999,1001572.00219,1893542.06218,2358093.34478
6,2017-07-01,31182.3,27819.4,31182302.456590004,30815311.77359001,366990.683,31182302.456590004,10905912.736712996,8183012.3184557,10162899.880877996,1930477.5205436,31182302.456590004,20882660.9498715,3325398.655807,8482567.662069999,1153102.214458,3534096.704471,3013143.967621,994343.577518,380008.1679264999,4599798.33368,1026743.4961478,1995091.1435834,2678008.53231
7,2017-08-01,31154.9,27394.1,31154880.943740003,30763355.89174,391525.052,31154880.943740003,11041625.274251005,7899351.016894999,10115176.88118,2098727.7714126995,31154880.943740003,20666687.818400696,3261204.283279001,8275620.179699998,1147970.0728000002,3604272.106411,2946950.8218284003,1060479.162074,370191.1923083,4585003.76395,786415.4840321998,1882133.804004,3234640.0713499985
